date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01 00:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,2,1,2,1,11,100,99,0.0,1022,2,0,207,5,washington
2011-01-01 01:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,2,1,3,1,14,100,99,0.0,1021,2,0,202,7,washington
2011-01-01 02:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,3,0,3,0,17,100,99,0.0,1021,2,0,196,9,washington
2011-01-01 03:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,3,-0,3,-0,21,100,99,0.0,1021,3,0,191,10,washington
2011-01-01 04:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,3,0,3,0,19,100,99,0.0,1021,3,0,187,9,washington
2011-01-01 05:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,3,1,3,1,18,100,99,0.0,1020,3,0,183,9,washington
2011-01-01 06:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,3,1,3,1,16,100,100,0.0,1020,3,0,179,8,washington
2011-01-01 07:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,4,2,4,2,21,93,98,0.0,1020,4,3,186,12,washington
2011-01-01 08:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,5,3,6,3,27,85,96,0.0,1020,6,7,193,17,washington
2011-01-01 09:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,6,4,7,4,33,78,94,0.0,1019,7,10,200,22,washington
2011-01-01 10:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,8,6,9,6,28,78,95,0.0,1019,9,7,193,18,washington
2011-01-01 11:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,10,8,10,8,23,78,96,0.0,1019,10,5,186,14,washington
2011-01-01 12:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,11,12,11,18,78,97,0.0,1019,11,2,179,10,washington
2011-01-01 13:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,10,12,10,23,85,97,0.0,1018,11,5,183,12,washington
2011-01-01 14:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,10,11,10,27,93,98,0.0,1018,11,7,186,15,washington
2011-01-01 15:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,9,11,9,32,100,99,0.0,1018,11,10,190,18,washington
2011-01-01 16:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,9,11,9,28,100,99,0.0,1017,11,7,181,16,washington
2011-01-01 17:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,9,11,9,24,100,99,0.0,1017,11,3,172,13,washington
2011-01-01 18:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,10,11,10,20,100,99,0.0,1017,11,0,164,11,washington
2011-01-01 19:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,9,11,9,25,100,99,0.0,1016,11,1,177,13,washington
2011-01-01 20:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,9,11,9,29,100,99,0.2,1016,11,1,191,16,washington
2011-01-01 21:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,9,11,9,34,100,99,0.2,1016,11,2,205,19,washington
2011-01-01 22:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,9,11,9,30,100,99,0.1,1016,11,5,201,17,washington
2011-01-01 23:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,11,9,11,9,26,100,99,0.0,1015,11,7,198,15,washington
2011-01-02 00:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,11,9,11,9,22,100,99,0.0,1015,11,10,194,13,washington
2011-01-02 01:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,11,9,11,9,21,100,99,0.0,1015,11,7,211,12,washington
2011-01-02 02:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,11,9,11,9,20,100,99,0.1,1015,11,5,227,11,washington
2011-01-02 03:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,11,9,11,9,18,100,99,0.2,1015,10,2,244,11,washington
2011-01-02 04:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,10,9,10,9,18,100,99,0.1,1015,10,1,279,10,washington
2011-01-02 05:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,10,8,10,8,18,100,98,0.0,1015,10,1,315,10,washington
2011-01-02 06:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,9,8,9,8,17,100,98,0.0,1015,9,0,351,9,washington
2011-01-02 07:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,8,7,9,7,18,95,95,0.0,1016,9,1,352,11,washington
2011-01-02 08:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,7,6,8,6,20,89,93,0.1,1016,8,1,353,12,washington
2011-01-02 09:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,6,5,8,5,21,84,90,0.1,1017,7,2,355,14,washington
2011-01-02 10:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,7,6,8,6,17,89,93,0.1,1016,7,1,356,11,washington
2011-01-02 11:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,7,6,8,6,13,95,96,0.0,1015,7,1,357,8,washington
2011-01-02 12:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,8,7,8,7,10,100,100,0.0,1015,7,0,358,5,washington
2011-01-02 13:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,7,5,7,5,16,100,97,0.0,1015,7,3,351,10,washington
2011-01-02 14:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,6,4,6,4,22,100,95,0.7,1015,6,6,345,14,washington
2011-01-02 15:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,5,2,6,2,28,100,92,1.0,1015,6,9,338,18,washington
2011-01-02 16:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,4,1,5,1,30,68,91,0.5,1016,5,9,325,18,washington
2011-01-02 17:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,3,1,4,1,32,36,90,0.0,1017,4,10,311,18,washington
2011-01-02 18:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,2,-0,4,-0,35,3,89,0.0,1018,4,10,298,18,washington
2011-01-02 19:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,1,-2,2,-2,35,2,89,0.0,1019,2,10,302,19,washington
2011-01-02 20:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,-1,-4,1,-4,36,1,89,0.0,1019,1,10,305,21,washington
2011-01-02 21:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,-2,-6,-0,-6,37,0,89,0.0,1020,-0,10,309,22,washington
2011-01-02 22:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,-2,-5,0,-5,29,0,87,0.0,1021,-1,10,311,18,washington
2011-01-02 23:00:00,9,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,-1,-3,1,-3,21,0,85,0.0,1021,-1,10,312,15,washington
2011-01-03 00:00:00,3,-3,0.0,8.7,2,0,06:50 AM,04:27 PM,07:27 AM,04:58 PM,-1,-2,1,-2,13,0,84,0.0,1021,-2,10,314,12,washington
2011-01-03 01:00:00,3,-3,0.0,8.7,2,0,06:50 AM,04:27 PM,07:27 AM,04:58 PM,-3,-4,-0,-4,19,0,80,0.0,1022,-2,10,314,14,washington
2011-01-03 02:00:00,3,-3,0.0,8.7,2,0,06:50 AM,04:27 PM,07:27 AM,04:58 PM,-5,-6,-1,-6,25,0,77,0.0,1023,-2,10,315,17,washington
