"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-01","5.6",",,W","0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","13.6","H,,S","17.8",",,W","6.7",",,W","  340",",,W","  290",",,W","10.7",",,W","14.8",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-02","2.5",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","7.9","H,,S","8.9",",,W","5.6",",,W","  180",",,W","  180",",,W","5.8",",,W","6.7",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-03","3.0",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","8.5","H,,S","10.6",",,W","4.4",",,W","  330",",,W","  320",",,W","8.1",",,W","10.3",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-04","2.3",",,W","1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","5.9","H,,S","10.0",",,W","2.2",",,W","  130",",,W","  130",",,W","5.8",",,W","6.3",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-05","4.1",",,W","1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","9.1","H,,S","12.2",",,W","7.8",",,W","  290",",,W","  290",",,W","11.6",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-06","4.6",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","9.9","H,,S","13.9",",,W","3.9",",,W","  320",",,W","  320",",,W","9.8",",,W","13.4",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-07","4.2",",,W","0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","4.1","H,,S","5.0",",,W","1.7",",,W","  160",",,W","  160",",,W","7.2",",,W","8.9",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-08","3.4",",,W","6.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","7.0","H,,S","15.6",",,W","3.9",",,W","  320",",,W","  310",",,W","13.9",",,W","18.8",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-09","7.2",",,W","0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","9.2","H,,S","12.2",",,W","0.6",",,W","  330",",,W","  330",",,W","14.3",",,W","18.8",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-10","7.9",",,W","0.0","T,,Z,2400","0.0","T,,W,2400","0.0",",,W,2400","1.4","H,,S","3.9",",,W","-1.0",",,W","  310",",,W","  310",",,W","14.3",",,W","20.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-11","6.2",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","0.3","H,,S","3.9",",,W","-1.6",",,W","  320",",,W","  320",",,W","11.2",",,W","15.2",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-12","2.1",",,W","3.3",",,W,2400","48.0",",,W,2400","0.0",",,W,2400","0.5","H,,S","2.8",",,W","-1.0",",,W","   70",",,W","  170",",,W","4.0",",,W","4.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-13","5.1",",,W","18.0",",,W,2400","211.0",",,W,2400","100.0",",,W,2400","-0.8","H,,S","0.0",",,W","-1.6",",,W","   10",",,W","   10",",,W","8.1",",,W","10.3",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-14","3.0",",,W","0.0","T,,W,2400","3.0",",,W,2400","250.0",",,W,2400","-0.2","H,,S","2.8",",,W","-2.7",",,W","  350",",,W","  340",",,W","6.7",",,W","7.6",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-15","3.2",",,W","0.0",",,W,2400","0.0",",,W,2400","150.0",",,W,2400","0.3","H,,S","3.9",",,W","-3.8",",,W","  340",",,W","  320",",,W","8.9",",,W","9.8",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-16","3.5",",,W","0.0",",,W,2400","0.0",",,W,2400","130.0",",,W,2400","1.1","H,,S","6.7",",,W","-4.3",",,W","  310",",,W","  320",",,W","10.3",",,W","13.4",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-17","2.8",",,W","2.3",",,W,2400","23.0",",,W,2400","80.0",",,W,2400","3.4","H,,S","4.4",",,W","1.1",",,W","  320",",,W","  310",",,W","7.2",",,W","8.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-18","2.0",",,W","0.5",",,W,2400","3.0",",,W,2400","80.0",",,W,2400","2.1","H,,S","5.0",",,W","1.1",",,W","  170",",,W","  180",",,W","4.5",",,W","5.4",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-19","2.6",",,W","15.5",",,W,2400","0.0",",,W,2400","30.0",",,W,2400","3.8","H,,S","4.4",",,W","2.8",",,W","  100",",,W","   90",",,W","6.3",",,W","7.6",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-20","7.9",",,W","4.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","4.5","H,,S","13.3",",,W","-7.7",",,W","  320",",,W","  310",",,W","16.1",",,W","20.6",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-21","8.4",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","-6.8","H,,S","-4.3",",,W","-9.3",",,W","  330",",,W","  310",",,W","14.8",",,W","20.6",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-22","3.9",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","-5.6","H,,S","0.6",",,W","-8.8",",,W","  340",",,W","  320",",,W","6.7",",,W","8.1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-23","5.2",",,W","0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","3.3","H,,S","11.1",",,W","-0.5",",,W","  200",",,W","  210",",,W","9.4",",,W","12.5",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-24","6.2",",,W","26.2",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","10.8","H,,S","15.6",",,W","2.2",",,W","  290",",,W","  310",",,W","12.5",",,W","17.4",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-25","4.4",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","3.4","H,,S","6.7",",,W","-1.0",",,W","  300",",,W","  270",",,W","8.9",",,W","11.2",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-26","1.4",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","0.8","H,,S","5.6",",,W","-3.2",",,W","  220",",,W","  210",",,W","5.4",",,W","6.3",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-27","3.7",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","2.8","H,,S","9.4",",,W","-2.1",",,W","  210",",,W","  210",",,W","8.9",",,W","10.3",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-28","4.0",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","2.9","H,,S","4.4",",,W","-1.0",",,W","   10",",,W","  360",",,W","7.6",",,W","8.5",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-29","4.2",",,W","5.1",",,W,2400","5.0",",,W,2400","0.0",",,W,2400","1.5","H,,S","5.0",",,W","-2.1",",,W","  320",",,W","  320",",,W","11.6",",,W","14.3",",,W","    1",",,W",,,,,"    1",",,W",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2019-01-30","7.0",",,W","0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","-2.2","H,,S","3.9",",,W","-11.0",",,W","  320",",,W","  320",",,W","14.8",",,W","18.3",",,W",,,,,,,,,,,,,,
