date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,10,7,9,7,31,91,86,0.3,1009,6,5,204,14,washington
2019-01-01 01:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,11,9,11,9,35,85,86,0.2,1008,9,6,210,17,washington
2019-01-01 02:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,12,12,13,12,39,79,86,0.0,1008,11,8,216,19,washington
2019-01-01 03:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,13,15,15,15,43,73,86,0.0,1008,14,10,222,22,washington
2019-01-01 04:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,13,15,15,15,40,74,86,0.0,1008,14,10,229,20,washington
2019-01-01 05:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,12,15,15,15,38,74,87,0.0,1008,14,10,236,18,washington
2019-01-01 06:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,12,15,15,15,35,75,87,0.0,1008,14,10,243,16,washington
2019-01-01 07:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,12,15,15,15,32,74,86,0.0,1008,14,10,252,15,washington
2019-01-01 08:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,12,15,15,15,29,73,85,0.0,1009,14,10,261,13,washington
2019-01-01 09:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,12,15,15,15,26,72,84,0.0,1010,14,10,270,12,washington
2019-01-01 10:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,11,15,15,15,26,65,79,0.0,1010,14,10,278,12,washington
2019-01-01 11:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,10,14,14,14,26,57,75,0.0,1011,14,10,286,13,washington
2019-01-01 12:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,9,14,14,14,26,50,70,0.0,1012,13,10,294,13,washington
2019-01-01 13:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,8,14,14,14,25,37,65,0.0,1013,14,10,299,13,washington
2019-01-01 14:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,7,15,15,15,24,24,59,0.0,1014,14,10,304,13,washington
2019-01-01 15:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,6,15,15,15,23,11,53,0.0,1015,15,10,309,13,washington
2019-01-01 16:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,6,14,14,14,22,12,54,0.0,1015,14,10,312,13,washington
2019-01-01 17:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,5,14,14,14,21,13,55,0.0,1015,13,10,316,13,washington
2019-01-01 18:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,4,13,13,13,19,14,56,0.0,1016,12,10,319,13,washington
2019-01-01 19:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,4,12,12,12,18,13,58,0.0,1016,11,10,323,13,washington
2019-01-01 20:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,3,11,11,11,17,11,59,0.0,1016,10,10,327,13,washington
2019-01-01 21:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,3,10,10,10,15,10,61,0.0,1016,9,10,332,13,washington
2019-01-01 22:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,2,9,9,9,15,10,61,0.0,1018,8,10,301,13,washington
2019-01-01 23:00:00,15,6,0.0,7.0,3,26,03:09 AM,02:03 PM,07:27 AM,04:57 PM,2,8,9,8,14,10,62,0.0,1019,8,10,269,12,washington
2019-01-02 00:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,2,7,8,7,13,11,62,0.0,1020,7,10,238,12,washington
2019-01-02 01:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,1,6,7,6,12,13,64,0.0,1021,6,10,165,10,washington
2019-01-02 02:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,1,5,6,5,10,15,66,0.0,1022,6,10,93,8,washington
2019-01-02 03:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,1,4,6,4,9,18,69,0.0,1022,5,10,20,6,washington
2019-01-02 04:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,0,3,5,3,8,32,69,0.0,1023,5,10,25,6,washington
2019-01-02 05:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,0,3,5,3,7,47,69,0.0,1023,4,10,31,6,washington
2019-01-02 06:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,0,3,5,3,6,61,69,0.0,1024,4,10,36,6,washington
2019-01-02 07:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-0,3,5,3,6,71,67,0.0,1025,4,10,53,6,washington
2019-01-02 08:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-0,3,5,3,5,81,66,0.0,1025,5,10,69,7,washington
2019-01-02 09:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-0,4,6,4,5,91,64,0.0,1026,5,10,86,7,washington
2019-01-02 10:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-0,5,6,5,6,86,61,0.0,1026,6,10,95,7,washington
2019-01-02 11:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,5,7,5,7,81,58,0.0,1026,6,10,105,7,washington
2019-01-02 12:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,6,8,6,8,76,55,0.0,1025,7,10,114,8,washington
2019-01-02 13:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,7,8,7,9,74,55,0.0,1025,7,10,118,7,washington
2019-01-02 14:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,7,8,7,9,72,55,0.0,1024,7,10,122,7,washington
2019-01-02 15:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,8,8,8,10,70,55,0.0,1024,8,10,126,7,washington
2019-01-02 16:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,7,8,7,11,69,56,0.0,1024,7,10,132,7,washington
2019-01-02 17:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,6,7,6,12,68,57,0.0,1024,6,10,138,7,washington
2019-01-02 18:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,5,7,5,13,67,58,0.0,1024,6,10,144,8,washington
2019-01-02 19:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,5,6,5,14,67,59,0.0,1024,6,10,148,7,washington
2019-01-02 20:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,4,6,4,15,67,61,0.0,1024,5,10,153,7,washington
2019-01-02 21:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,4,6,4,17,66,62,0.0,1023,5,10,157,7,washington
2019-01-02 22:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-1,4,6,4,17,70,61,0.0,1023,5,9,164,6,washington
2019-01-02 23:00:00,8,4,0.0,3.5,3,19,04:10 AM,02:39 PM,07:27 AM,04:58 PM,-2,5,6,5,17,73,60,0.0,1022,5,8,172,6,washington
2019-01-03 00:00:00,8,4,0.0,7.0,2,11,05:11 AM,03:19 PM,07:27 AM,04:58 PM,-2,5,6,5,18,77,59,0.0,1022,5,7,179,5,washington
2019-01-03 01:00:00,8,4,0.0,7.0,2,11,05:11 AM,03:19 PM,07:27 AM,04:58 PM,-2,4,5,4,18,80,60,0.0,1022,5,6,190,5,washington
2019-01-03 02:00:00,8,4,0.0,7.0,2,11,05:11 AM,03:19 PM,07:27 AM,04:58 PM,-2,4,5,4,18,83,61,0.2,1022,4,5,200,6,washington
2019-01-03 03:00:00,8,4,0.0,7.0,2,11,05:11 AM,03:19 PM,07:27 AM,04:58 PM,-2,3,5,3,18,86,63,0.3,1022,4,4,211,6,washington
2019-01-03 04:00:00,8,4,0.0,7.0,2,11,05:11 AM,03:19 PM,07:27 AM,04:58 PM,-1,3,5,3,16,83,64,0.1,1021,4,5,222,7,washington
2019-01-03 05:00:00,8,4,0.0,7.0,2,11,05:11 AM,03:19 PM,07:27 AM,04:58 PM,-1,3,4,3,15,80,65,0.2,1021,4,7,233,7,washington
2019-01-03 06:00:00,8,4,0.0,7.0,2,11,05:11 AM,03:19 PM,07:27 AM,04:58 PM,-1,3,4,3,13,77,67,0.3,1021,4,8,244,8,washington
