instant,date,season,year,month,hour,is_holiday,weekday,is_workday,weather,temperature,felt_temperature,humidity,windspeed,casual_users,registered_users,users_total,is_weekend,temperature_actual,felt_temperature_actual,humidity_actual,windspeed_actual
1,2011-01-01,winter,2011,January,0,False,Saturday,False,A,0.24,0.2879,0.81,0.0,3,13,16,True,2.5510204081632644,5.5313,81.0,0.0
2,2011-01-01,winter,2011,January,1,False,Saturday,False,A,0.22,0.2727,0.8,0.0,8,32,40,True,1.591836734693878,4.8169,80.0,0.0
3,2011-01-01,winter,2011,January,2,False,Saturday,False,A,0.22,0.2727,0.8,0.0,5,27,32,True,1.591836734693878,4.8169,80.0,0.0
4,2011-01-01,winter,2011,January,3,False,Saturday,False,A,0.24,0.2879,0.75,0.0,3,10,13,True,2.5510204081632644,5.5313,75.0,0.0
5,2011-01-01,winter,2011,January,4,False,Saturday,False,A,0.24,0.2879,0.75,0.0,0,1,1,True,2.5510204081632644,5.5313,75.0,0.0
6,2011-01-01,winter,2011,January,5,False,Saturday,False,B,0.24,0.2576,0.75,0.0896,0,1,1,True,2.5510204081632644,4.107200000000001,75.0,11.1179264
7,2011-01-01,winter,2011,January,6,False,Saturday,False,A,0.22,0.2727,0.8,0.0,2,0,2,True,1.591836734693878,4.8169,80.0,0.0
8,2011-01-01,winter,2011,January,7,False,Saturday,False,A,0.2,0.2576,0.86,0.0,1,2,3,True,0.6326530612244898,4.107200000000001,86.0,0.0
9,2011-01-01,winter,2011,January,8,False,Saturday,False,A,0.24,0.2879,0.75,0.0,1,7,8,True,2.5510204081632644,5.5313,75.0,0.0
10,2011-01-01,winter,2011,January,9,False,Saturday,False,A,0.32,0.3485,0.76,0.0,8,6,14,True,6.387755102040817,8.3795,76.0,0.0
11,2011-01-01,winter,2011,January,10,False,Saturday,False,A,0.38,0.3939,0.76,0.2537,12,24,36,True,9.265306122448981,10.513299999999997,76.0,31.4801108
12,2011-01-01,winter,2011,January,11,False,Saturday,False,A,0.36,0.3333,0.81,0.2836,26,30,56,True,8.306122448979592,7.665099999999999,81.0,35.1902224
13,2011-01-01,winter,2011,January,12,False,Saturday,False,A,0.42,0.4242,0.77,0.2836,29,55,84,True,11.183673469387754,11.9374,77.0,35.1902224
14,2011-01-01,winter,2011,January,13,False,Saturday,False,B,0.46,0.4545,0.72,0.2985,47,47,94,True,13.10204081632653,13.3615,72.0,37.039074
15,2011-01-01,winter,2011,January,14,False,Saturday,False,B,0.46,0.4545,0.72,0.2836,35,71,106,True,13.10204081632653,13.3615,72.0,35.1902224
16,2011-01-01,winter,2011,January,15,False,Saturday,False,B,0.44,0.4394,0.77,0.2985,40,70,110,True,12.142857142857144,12.651800000000001,77.0,37.039074
17,2011-01-01,winter,2011,January,16,False,Saturday,False,B,0.42,0.4242,0.82,0.2985,41,52,93,True,11.183673469387754,11.9374,82.0,37.039074
18,2011-01-01,winter,2011,January,17,False,Saturday,False,B,0.44,0.4394,0.82,0.2836,15,52,67,True,12.142857142857144,12.651800000000001,82.0,35.1902224
19,2011-01-01,winter,2011,January,18,False,Saturday,False,C,0.42,0.4242,0.88,0.2537,9,26,35,True,11.183673469387754,11.9374,88.0,31.4801108
20,2011-01-01,winter,2011,January,19,False,Saturday,False,C,0.42,0.4242,0.88,0.2537,6,31,37,True,11.183673469387754,11.9374,88.0,31.4801108
21,2011-01-01,winter,2011,January,20,False,Saturday,False,B,0.4,0.4091,0.87,0.2537,11,25,36,True,10.224489795918368,11.227700000000002,87.0,31.4801108
22,2011-01-01,winter,2011,January,21,False,Saturday,False,B,0.4,0.4091,0.87,0.19399999999999998,3,31,34,True,10.224489795918368,11.227700000000002,87.0,24.072296
23,2011-01-01,winter,2011,January,22,False,Saturday,False,B,0.4,0.4091,0.94,0.2239,11,17,28,True,10.224489795918368,11.227700000000002,94.0,27.7824076
24,2011-01-01,winter,2011,January,23,False,Saturday,False,B,0.46,0.4545,0.88,0.2985,15,24,39,True,13.10204081632653,13.3615,88.0,37.039074
25,2011-01-02,winter,2011,January,0,False,Sunday,False,B,0.46,0.4545,0.88,0.2985,4,13,17,True,13.10204081632653,13.3615,88.0,37.039074
26,2011-01-02,winter,2011,January,1,False,Sunday,False,B,0.44,0.4394,0.94,0.2537,1,16,17,True,12.142857142857144,12.651800000000001,94.0,31.4801108
27,2011-01-02,winter,2011,January,2,False,Sunday,False,B,0.42,0.4242,1.0,0.2836,1,8,9,True,11.183673469387754,11.9374,100.0,35.1902224
28,2011-01-02,winter,2011,January,3,False,Sunday,False,B,0.46,0.4545,0.94,0.19399999999999998,2,4,6,True,13.10204081632653,13.3615,94.0,24.072296
29,2011-01-02,winter,2011,January,4,False,Sunday,False,B,0.46,0.4545,0.94,0.19399999999999998,2,1,3,True,13.10204081632653,13.3615,94.0,24.072296
30,2011-01-02,winter,2011,January,6,False,Sunday,False,C,0.42,0.4242,0.77,0.2985,0,2,2,True,11.183673469387754,11.9374,77.0,37.039074
31,2011-01-02,winter,2011,January,7,False,Sunday,False,B,0.4,0.4091,0.76,0.19399999999999998,0,1,1,True,10.224489795918368,11.227700000000002,76.0,24.072296
32,2011-01-02,winter,2011,January,8,False,Sunday,False,C,0.4,0.4091,0.71,0.2239,0,8,8,True,10.224489795918368,11.227700000000002,71.0,27.7824076
