Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.9961538461538462,0.9945584201529575,,0.9961520243768477,0.31615328788757324
LGBMClassifier,0.9953846153846154,0.9921472452670945,,0.9953758033702412,0.09773874282836914
RandomForestClassifier,0.9946153846153846,0.9906809696072705,,0.9946025007913168,0.5525496006011963
LabelPropagation,0.9930769230769231,0.990583115965739,,0.993073643878326,0.9275181293487549
LinearDiscriminantAnalysis,0.9930769230769231,0.990583115965739,,0.993073643878326,0.034906864166259766
LabelSpreading,0.9930769230769231,0.990583115965739,,0.993073643878326,1.2636182308197021
XGBClassifier,0.9938461538461538,0.9901595931734853,,0.9938344044936551,0.1406240463256836
SVC,0.9938461538461538,0.9901595931734853,,0.9938344044936551,0.08776450157165527
RidgeClassifier,0.9938461538461538,0.9901595931734853,,0.9938344044936551,0.02989649772644043
RidgeClassifierCV,0.9930769230769231,0.9896382167397002,,0.9930670349308623,0.030923843383789062
AdaBoostClassifier,0.9923076923076923,0.989116840305915,,0.9923003865007541,0.404949426651001
CalibratedClassifierCV,0.9915384615384616,0.9885954638721297,,0.991534453629065,0.18650007247924805
LinearSVC,0.9907692307692307,0.9880740874383446,,0.9907692307692307,0.05983924865722656
BaggingClassifier,0.9907692307692307,0.9861842889862669,,0.9907516067404826,0.19450664520263672
KNeighborsClassifier,0.99,0.9856629125524816,,0.9899857171223567,0.14258742332458496
PassiveAggressiveClassifier,0.9853846153846154,0.9853693516278871,,0.9854453429786207,0.024932861328125
LogisticRegression,0.9876923076923076,0.9831538840250873,,0.9876806184012066,0.0359041690826416
NearestCentroid,0.9861538461538462,0.9830560303835557,,0.9861668624749605,0.02294182777404785
QuadraticDiscriminantAnalysis,0.9823076923076923,0.9823389466667074,,0.98239708086588,0.025931119918823242
SGDClassifier,0.9869230769230769,0.9807427091392243,,0.986891787636055,0.026928186416625977
DecisionTreeClassifier,0.9838461538461538,0.9796021026301225,,0.9838537661881236,0.050863027572631836
Perceptron,0.9761538461538461,0.9791128344224648,,0.9763780222548915,0.021941184997558594
GaussianNB,0.9715384615384616,0.9684253820114428,,0.9716822605233723,0.02693009376525879
ExtraTreeClassifier,0.9723076923076923,0.962332463862956,,0.9722548202214478,0.024962425231933594
BernoulliNB,0.9723076923076923,0.9538283708286063,,0.9720031720856461,0.03573012351989746
DummyClassifier,0.6353846153846154,0.5194774615542216,,0.6317582304519347,0.022938966751098633
