brand,product_name,shipping 
Gigabyte, GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUS X-10GD Video Card, 9.99
Msi, MSI GeForce RTX 3070 DirectX 12 RTX 3070 GAMING X TRIO Video Card, 9.99
Msi, MSI GeForce GT 710 DirectX 12 GT 710 2GD3H LP Video Card, 
Asrock, ASRock Radeon RX 6800 Challenger Pro Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2 (RX6800 CLP 16GO), 9.99
Gigabyte, GIGABYTE GeForce RTX 3070 DirectX 12 GV-N3070VISION OC-8GD Video Card, 9.99
Asus, ASUS ROG Strix GeForce RTX 3080 ROG-STRIX-RTX3080-O10G-WHITE Video Card, 
Msi, Replacement Only Return Policy, 9.99
Sapphire Tech, SAPPHIRE Radeon RX 6800 DirectX 12 21305-01-20G Video Card, 
Gigabyte, GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G Graphics Card| WATERFORCE Water Block Cooling System| 10GB 320-bit GDDR6X| GV-N3080AORUSX WB-10GD Video Card, 6.99
Powercolor, PowerColor Fighter AMD Radeon RX 6800 Gaming Graphics card with 16GB GDDR6 Memory| Powered by AMD RDNA 2| Raytracing| PCI Express 4.0| HDMI 2.1| AMD Infinity Cache, 9.99
Evga, EVGA GeForce RTX 3080 XC3 BLACK GAMING Video Card| 10G-P5-3881-KR| 10GB GDDR6X| iCX3 Cooling| ARGB LED, 9.99
Xfx, XFX Speedster MERC319 Radeon RX 6800 BLACK 16GB GDDR6 HDMI DisplayPort PCIe 4.0 Gaming Graphic Card| RX-68XLATBD9, 9.99
